strain.id	host
ERR2778261_1	Hospitalised patient
ERR2778262_1	Hospitalised patient
ERR2778263_1	Other
ERR2778264_1	Other
ERR2778265_1	Other
ERR2778266_1	Hospitalised patient
ERR2778267_1	Hospitalised patient
ERR2778268_1	Hospitalised patient
ERR2778269_1	Other
ERR2778270_1	Hospitalised patient
ERR2778271_1	Hospitalised patient
ERR2778272_1	Other
ERR2778273_1	Hospitalised patient
ERR2778274_1	Hospitalised patient
ERR2778275_1	Other
ERR2778276_1	Other
ERR2778277_1	Hospitalised patient
ERR2778278_1	Hospitalised patient
ERR2778279_1	Hospitalised patient
ERR2778280_1	Hospitalised patient
ERR2778281_1	Hospitalised patient
ERR2778282_1	Hospitalised patient
ERR2778283_1	Hospitalised patient
ERR2778284_1	Hospitalised patient
ERR2778285_1	Other
ERR2778286_1	Hospitalised patient
ERR2778287_1	Hospitalised patient
ERR2778288_1	Hospitalised patient
ERR2778289_1	Other
ERR2778290_1	Hospitalised patient
ERR2778291_1	Hospitalised patient
ERR2778292_1	Hospitalised patient
ERR2778293_1	Hospitalised patient
ERR2778294_1	Non-hospitalised person
ERR2778295_1	Hospitalised patient
ERR2778296_1	Hospitalised patient
ERR2778297_1	Hospitalised patient
ERR2778298_1	Hospitalised patient
ERR2778299_1	Hospitalised patient
ERR2778300_1	Hospitalised patient
ERR2778301_1	Hospitalised patient
ERR2778302_1	Hospitalised patient
ERR2778303_1	Hospitalised patient
ERR2778304_1	Other
ERR2778305_1	Hospitalised patient
ERR2778306_1	Non-hospitalised person
ERR2778307_1	Hospitalised patient
ERR2778308_1	Hospitalised patient
ERR2778309_1	Other
ERR2778310_1	Hospitalised patient
ERR2778311_1	Other
ERR2778312_1	Other
ERR2778313_1	Non-hospitalised person
ERR2778314_1	Other
ERR2778315_1	Other
ERR2778316_1	Hospitalised patient
ERR2778317_1	Hospitalised patient
ERR2778318_1	Hospitalised patient
ERR2778319_1	Non-hospitalised person
ERR2778320_1	Hospitalised patient
ERR2778321_1	Non-hospitalised person
ERR2778322_1	Hospitalised patient
ERR2778323_1	Hospitalised patient
ERR2778324_1	Hospitalised patient
ERR2778325_1	Other
ERR2778326_1	Hospitalised patient
ERR2778327_1	Hospitalised patient
ERR2778328_1	Hospitalised patient
ERR2778329_1	Non-hospitalised person
ERR2778330_1	Hospitalised patient
ERR2778331_1	Other
ERR2778332_1	Hospitalised patient
ERR2778333_1	Other
ERR2778334_1	Hospitalised patient
ERR2778335_1	Other
ERR2778336_1	Hospitalised patient
ERR2778337_1	Other
ERR2778338_1	Hospitalised patient
ERR2778339_1	Hospitalised patient
ERR2778340_1	Hospitalised patient
ERR2778341_1	Non-hospitalised person
ERR2778342_1	Hospitalised patient
ERR2778343_1	Other
ERR2778344_1	Hospitalised patient
ERR2778345_1	Other
ERR2778346_1	Other
ERR2778347_1	Hospitalised patient
ERR2778348_1	Hospitalised patient
ERR2778349_1	Hospitalised patient
ERR2778350_1	Hospitalised patient
ERR2778351_1	Hospitalised patient
ERR2778352_1	Other
ERR2778353_1	Hospitalised patient
ERR2778354_1	Hospitalised patient
ERR2778355_1	Hospitalised patient
ERR2778356_1	Other
ERR2778357_1	Hospitalised patient
ERR2778358_1	Hospitalised patient
ERR2778359_1	Other
ERR2778360_1	Other
ERR2778361_1	Hospitalised patient
ERR2778362_1	Non-hospitalised person
ERR2778363_1	Other
ERR2778364_1	Hospitalised patient
ERR2778365_1	Hospitalised patient
ERR2778366_1	Hospitalised patient
ERR2778367_1	Hospitalised patient
ERR2778368_1	Hospitalised patient
ERR2778369_1	Hospitalised patient
ERR2778370_1	Other
ERR2778371_1	Non-hospitalised person
ERR2778372_1	Other
ERR2778373_1	Hospitalised patient
ERR2778374_1	Hospitalised patient
ERR2778375_1	Hospitalised patient
ERR2778376_1	Hospitalised patient
ERR2778377_1	Hospitalised patient
ERR2778378_1	Hospitalised patient
ERR2778379_1	Hospitalised patient
ERR2778380_1	Other
ERR2778381_1	Hospitalised patient
ERR2778382_1	Hospitalised patient
ERR2778383_1	Hospitalised patient
ERR2778384_1	Other
ERR2778385_1	Hospitalised patient
ERR2778386_1	Hospitalised patient
ERR2778387_1	Non-hospitalised person
ERR2778388_1	Other
ERR2778389_1	Other
ERR2778390_1	Hospitalised patient
ERR2778391_1	Other
ERR2778392_1	Hospitalised patient
ERR2778393_1	Hospitalised patient
ERR2778394_1	Hospitalised patient
ERR2778395_1	Other
ERR2778396_1	Hospitalised patient
ERR2778397_1	Hospitalised patient
ERR2778398_1	Hospitalised patient
ERR2778399_1	Hospitalised patient
ERR2778400_1	Hospitalised patient
ERR2778401_1	Other
ERR2778402_1	Hospitalised patient
ERR2778403_1	Other
ERR2778404_1	Hospitalised patient
ERR2778405_1	Hospitalised patient
ERR2778406_1	Hospitalised patient
ERR2778407_1	Hospitalised patient
ERR2778408_1	Hospitalised patient
ERR2778409_1	Other
ERR2778410_1	Hospitalised patient
ERR2778411_1	Hospitalised patient
ERR2778412_1	Other
ERR2778413_1	Other
ERR2778414_1	Hospitalised patient
ERR2778415_1	Hospitalised patient
ERR2778416_1	Hospitalised patient
ERR2778417_1	Hospitalised patient
ERR2778418_1	Hospitalised patient
ERR2778419_1	Hospitalised patient
ERR2778420_1	Other
ERR2778421_1	Hospitalised patient
ERR2778422_1	Hospitalised patient
ERR2778423_1	Other
ERR2778424_1	Hospitalised patient
ERR2778425_1	Hospitalised patient
ERR2778426_1	Hospitalised patient
ERR2778427_1	Hospitalised patient
ERR2778428_1	Other
ERR2778429_1	Hospitalised patient
ERR2778430_1	Other
ERR2778431_1	Other
ERR2778432_1	Other
ERR2778433_1	Hospitalised patient
ERR2778434_1	Hospitalised patient
ERR2778435_1	Hospitalised patient
ERR2778436_1	Hospitalised patient
ERR2778437_1	Hospitalised patient
ERR2778438_1	Other
ERR2778439_1	Hospitalised patient
ERR2778440_1	Hospitalised patient
ERR2778441_1	Other
ERR2778442_1	Hospitalised patient
ERR2778443_1	Non-hospitalised person
ERR2778444_1	Non-hospitalised person
ERR2778445_1	Other
ERR2778446_1	Other
ERR2778447_1	Hospitalised patient
ERR2778448_1	Hospitalised patient
ERR2778449_1	Hospitalised patient
ERR2778450_1	Other
ERR2778451_1	Non-hospitalised person
ERR2778452_1	Other
ERR2778453_1	Hospitalised patient
ERR2778454_1	Hospitalised patient
ERR2778455_1	Hospitalised patient
ERR2778456_1	Hospitalised patient
ERR2778457_1	Hospitalised patient
ERR2778458_1	Other
ERR2778459_1	Hospitalised patient
ERR2778460_1	Other
ERR2778461_1	Hospitalised patient
ERR2778462_1	Other
ERR2778463_1	Hospitalised patient
ERR2778464_1	Other
ERR2778465_1	Other
ERR2778466_1	Non-hospitalised person
ERR2778467_1	Hospitalised patient
ERR2778468_1	Hospitalised patient
ERR2778469_1	Hospitalised patient
ERR2778470_1	Hospitalised patient
ERR2778471_1	Hospitalised patient
ERR2778472_1	Other
ERR2778473_1	Hospitalised patient
ERR2778474_1	Hospitalised patient
ERR2778475_1	Non-hospitalised person
ERR2778476_1	Non-hospitalised person
ERR2778477_1	Non-hospitalised person
ERR2778478_1	Other
ERR2778479_1	Hospitalised patient
ERR2778480_1	Other
ERR2778481_1	Other
ERR2778482_1	Hospitalised patient
ERR2778483_1	Hospitalised patient
ERR2778484_1	Hospitalised patient
ERR2778485_1	Non-hospitalised person
ERR2778486_1	Other
ERR2778487_1	Hospitalised patient
ERR2778488_1	Hospitalised patient
ERR2778489_1	Hospitalised patient
ERR2778490_1	Hospitalised patient
ERR2778491_1	Hospitalised patient
ERR2778492_1	Non-hospitalised person
ERR2778493_1	Hospitalised patient
ERR2778494_1	Other
ERR2778495_1	Hospitalised patient
ERR2778496_1	Hospitalised patient
ERR2778497_1	Hospitalised patient
ERR2778498_1	Hospitalised patient
ERR2778499_1	Hospitalised patient
ERR2778500_1	Hospitalised patient
ERR2778501_1	Other
ERR2778502_1	Non-hospitalised person
ERR2778503_1	Other
ERR2778504_1	Other
ERR2778505_1	Hospitalised patient
ERR2778506_1	Hospitalised patient
ERR2778507_1	Hospitalised patient
ERR2778508_1	Hospitalised patient
ERR2778509_1	Other
ERR2778510_1	Hospitalised patient
ERR2778511_1	Hospitalised patient
ERR2778512_1	Hospitalised patient
ERR2778513_1	Other
ERR2778514_1	Hospitalised patient
ERR2778515_1	Other
ERR2778516_1	Hospitalised patient
ERR2778517_1	Hospitalised patient
ERR2778518_1	Hospitalised patient
ERR2778519_1	Hospitalised patient
ERR2778520_1	Hospitalised patient
ERR2778521_1	Other
ERR2778522_1	Hospitalised patient
ERR2778523_1	Hospitalised patient
ERR2778524_1	Hospitalised patient
ERR2778525_1	Hospitalised patient
ERR2778526_1	Hospitalised patient
ERR2778527_1	Hospitalised patient
ERR2778528_1	Hospitalised patient
ERR2778529_1	Hospitalised patient
ERR2778530_1	Other
ERR2778531_1	Other
ERR2778532_1	Other
ERR2778533_1	Other
ERR2778534_1	Hospitalised patient
ERR2778535_1	Hospitalised patient
ERR2778536_1	Hospitalised patient
ERR2778537_1	Hospitalised patient
ERR2778538_1	Hospitalised patient
ERR2778539_1	Non-hospitalised person
ERR2778540_1	Hospitalised patient
ERR2778541_1	Non-hospitalised person
ERR2778542_1	Hospitalised patient
ERR2778543_1	Non-hospitalised person
ERR2778544_1	Non-hospitalised person
ERR2778545_1	Hospitalised patient
ERR2778546_1	Hospitalised patient
ERR2778547_1	Hospitalised patient
ERR2778548_1	Hospitalised patient
ERR2778549_1	Other
ERR2778550_1	Hospitalised patient
ERR2778551_1	Hospitalised patient
ERR2778552_1	Hospitalised patient
ERR2778553_1	Hospitalised patient
ERR2778554_1	Hospitalised patient
ERR2778555_1	Hospitalised patient
ERR2778556_1	Non-hospitalised person
ERR2778557_1	Hospitalised patient
ERR2778558_1	Other
ERR2778559_1	Hospitalised patient
ERR2778560_1	Hospitalised patient
ERR2778561_1	Other
ERR2778562_1	Other
ERR2778563_1	Hospitalised patient
ERR2778564_1	Hospitalised patient
ERR2778565_1	Other
ERR2778566_1	Hospitalised patient
ERR2778567_1	Hospitalised patient
ERR2778568_1	Hospitalised patient
ERR2778569_1	Hospitalised patient
ERR2778570_1	Hospitalised patient
ERR2778571_1	Hospitalised patient
ERR2778572_1	Other
ERR2778573_1	Hospitalised patient
ERR2778574_1	Other
ERR2778575_1	Hospitalised patient
ERR2778576_1	Other
ERR2778577_1	Other
ERR2778578_1	Hospitalised patient
ERR2778579_1	Other
ERR2778580_1	Other
ERR2778581_1	Other
ERR2778582_1	Hospitalised patient
ERR2778583_1	Hospitalised patient
ERR2778584_1	Other
ERR2778585_1	Other
ERR2778586_1	Hospitalised patient
ERR2778587_1	Hospitalised patient
ERR2778588_1	Hospitalised patient
ERR2778589_1	Hospitalised patient
ERR2778590_1	Hospitalised patient
ERR2778591_1	Hospitalised patient
ERR2778592_1	Other
ERR2778593_1	Hospitalised patient
ERR2778594_1	Other
ERR2778595_1	Hospitalised patient
ERR2778596_1	Other
ERR2778597_1	Hospitalised patient
ERR2778598_1	Other
ERR2778599_1	Hospitalised patient
ERR2778600_1	Hospitalised patient
ERR2778601_1	Hospitalised patient
ERR2778602_1	Hospitalised patient
ERR2778603_1	Hospitalised patient
ERR2778604_1	Other
ERR2778605_1	Hospitalised patient
ERR2778606_1	Hospitalised patient
ERR2778607_1	Other
ERR2778608_1	Other
ERR2778609_1	Hospitalised patient
ERR2778610_1	Other
ERR2778611_1	Hospitalised patient
ERR2778612_1	Hospitalised patient
ERR2778613_1	Hospitalised patient
ERR2778614_1	Other
ERR2778615_1	Other
ERR2778616_1	Hospitalised patient
ERR2778617_1	Non-hospitalised person
ERR2778618_1	Hospitalised patient
ERR2778619_1	Hospitalised patient
ERR2778620_1	Hospitalised patient
ERR2778621_1	Hospitalised patient
ERR2778622_1	Hospitalised patient
ERR2778623_1	Hospitalised patient
ERR2778624_1	Hospitalised patient
ERR2778625_1	Hospitalised patient
ERR2778626_1	Hospitalised patient
ERR2778627_1	Hospitalised patient
